MZ809611	SRR15391081
MZ786680	SRR15378963
MZ696403	SRR15285004
MZ848685	SRR15233152
MZ744785	SRR15364255
OK033080	SRR15707500
MZ783307	SRR15379709
MZ785548	SRR15379739
MZ591237	SRR15155442
MZ591937	SRR15157425
MZ740927	SRR15290166
MZ655209	SRR15229596
MZ786493	SRR15378951
MZ761611	SRR15394034
MZ732373	SRR15351969
MZ762557	SRR15396897
MZ592107	SRR15157539
MZ704401	SRR15224133
MZ764311	SRR15398657
MZ787455	SRR15380415
MZ786859	SRR15382363
MZ797001	SRR15433480
MZ505988	SRR15011716
MZ981469	SRR15681418
MZ745519	SRR15271838
MZ704408	SRR15224121
MZ764524	SRR15397418
MZ555147	SRR15088937
MZ742209	SRR15271057
MZ745716	SRR15272122
MZ531509	SRR15026091
MZ764012	SRR15407751
MZ811554	SRR15444721
MZ729751	SRR15345211
MZ695857	SRR15284183
MZ744304	SRR15363412
MZ850206	SRR15232833
MZ704925	SRR15138359
MZ761960	SRR15396571
MZ788565	SRR15434381
MZ811890	SRR15445480
OK032702	SRR15707359
MZ798185	SRR15416764
MZ732532	SRR15352714
OK075230	SRR15706522
MZ786554	SRR15382043
MZ759702	SRR15399789
MZ769425	SRR15405849
MZ590678	SRR15155527
MZ555006	SRR15088749
MZ811793	SRR15444866
MZ729885	SRR15344577
MZ740397	SRR15390794
OU435328	ERR6330296
MZ655703	SRR15229335
MZ849090	SRR15231792
MZ761156	SRR15394555
MZ529965	SRR15053128
MZ699165	SRR15284532
MZ743386	SRR15270688
MZ759902	SRR15393374
MZ811448	SRR15444753
MZ746244	SRR15377378
MZ704354	SRR15224464
MZ688260	SRR15268276
MZ592991	SRR15138042
MZ759486	SRR15399410
MZ786690	SRR15378447
MZ732865	SRR15352679
MZ705487	SRR15201239
MZ689909	SRR15266357
MZ730604	SRR15345360
MZ746468	SRR15377341
MZ590871	SRR15155109
MZ759477	SRR15399742
MZ761530	SRR15393614
MZ759571	SRR15399967
MZ695929	SRR15283934
MZ554154	SRR15087796
MZ797075	SRR15433494
MZ618071	SRR15199758
MZ655091	SRR15229225
MZ784864	SRR15380347
MZ706219	SRR15200907
MZ703760	SRR15224744
MZ765154	SRR15398540
MZ683658	SRR15271510
MZ810058	SRR15391665
MZ728885	SRR15224170
MZ797382	SRR15433122
MZ804585	SRR15446100
MZ764637	SRR15399115
MZ729532	SRR15342536
MZ745154	SRR15271671
MZ591748	SRR15156999
MZ698684	SRR15314167
MZ697004	SRR15285806
MZ697608	SRR15287085
MZ590926	SRR15155607
MZ765601	SRR15397951
MZ698757	SRR15314355
MZ699054	SRR15287599
MZ703847	SRR15224214
MZ654893	SRR15229658
MZ704689	SRR15138490
MZ650808	SRR15223584
OK039906	SRR15700701
MZ741556	SRR15299675
MZ760212	SRR15393054
MZ728148	SRR15299147
MZ697271	SRR15285405
MZ759239	SRR15399959
MZ731751	SRR15349780
MZ705302	SRR15200208
MZ662128	SRR15238651
MZ683812	SRR15271238
MZ732622	SRR15352023
MZ742514	SRR15272402
MZ848892	SRR15233350
MZ592717	SRR15156801
MZ761326	SRR15394150
MZ704876	SRR15138283
MZ681687	SRR15066775
MZ784151	SRR15379936
MZ797178	SRR15432769
MZ662413	SRR15223415
MZ530543	SRR15052561
MZ590781	SRR15155615
MZ593070	SRR15138178
MZ662488	SRR15223115
MZ696651	SRR15313250
MZ650513	SRR15223785
MZ690443	SRR15266299
MZ759305	SRR15399308
MZ764247	SRR15399071
OK066211	SRR15611378
OU435348	ERR6330106
MZ698175	SRR15286887
MZ822297	SRR15431069
MZ554784	SRR15089204
MZ705004	SRR15138998
OU440687	ERR6330227
MZ720730	SRR15325101
MZ518630	SRR15052119
MZ730091	SRR15345072
MZ981337	SRR15681153
MZ740533	SRR15289558
MZ742111	SRR15384164
MZ717927	SRR15287731
MZ733018	SRR15352521
MZ696341	SRR15285013
MZ705174	SRR15138860
MZ694665	SRR15267564
MZ759484	SRR15399425
OK021988	SRR15693046
MZ531496	SRR15026615
MZ693984	SRR15267385
MZ796793	SRR15433590
MZ760362	SRR15392521
MZ744299	SRR15363547
MZ662330	SRR15223138
MZ696878	SRR15313259
MZ760307	SRR15393407
MZ744838	SRR15363717
MZ728246	SRR15299368
MZ555290	SRR15089398
MZ554005	SRR15087900
MZ555237	SRR15089038
MZ745122	SRR15271710
MZ764583	SRR15397977
MZ697832	SRR15286930
MZ744344	SRR15363869
MZ699639	SRR15288248
MZ797095	SRR15433642
OK033095	SRR15707533
MZ783278	SRR15378047
MZ733116	SRR15352169
MZ697869	SRR15286978
MZ530790	SRR15053317
MZ764397	SRR15397209
MZ650688	SRR15223665
MZ741083	SRR15289942
MZ765899	SRR15397772
MZ936918	SRR15601093
MZ851217	SRR15505478
MZ763515	SRR15407622
MZ784292	SRR15378339
MZ848756	SRR15232258
MZ765412	SRR15397708
MZ913199	SRR15600668
MZ810266	SRR15390935
MZ981389	SRR15681367
MZ590661	SRR15155273
MZ811878	SRR15445455
MZ732742	SRR15351841
MZ740443	SRR15390725
MZ802618	SRR15433995
MZ699083	SRR15287545
MZ518755	SRR15051810
MZ698472	SRR15286570
OK039753	SRR15700918
OK032812	SRR15707487
MZ848894	SRR15231187
MZ655185	SRR15229661
MZ699602	SRR15288229
MZ729618	SRR15342641
MZ741883	SRR15383164
MZ849551	SRR15231413
MZ762005	SRR15396348
MZ746651	SRR15377877
MZ698761	SRR15314173
MZ811362	SRR15445398
MZ554300	SRR15088325
MZ694176	SRR15267726
MZ688310	SRR15268377
MZ704287	SRR15224618
MZ662499	SRR15223117
MZ649860	SRR15228444
MZ797942	SRR15433720
MZ851230	SRR15505464
MZ762630	SRR15397031
MZ647080	SRR15238538
MZ655356	SRR15229399
MZ760788	SRR15392963
MZ801910	SRR15434709
MZ850863	SRR15232298
MZ796792	SRR15433260
MZ759077	SRR15399705
MZ693936	SRR15267612
MZ729237	SRR15346155
MZ742982	SRR15270281
MZ786808	SRR15380960
MZ697116	SRR15285663
MZ696311	SRR15285122
MZ744484	SRR15364168
MZ763212	SRR15408005
MZ554065	SRR15087923
MZ732495	SRR15351460
MZ804268	SRR15446332
MZ811570	SRR15445751
MZ689997	SRR15266012
MZ706155	SRR15201362
MZ730921	SRR15349657
MZ785036	SRR15381899
MZ694585	SRR15266992
MZ759487	SRR15399397
MZ698083	SRR15286260
MZ554980	SRR15088888
MZ787395	SRR15380207
MZ740508	SRR15289653
MZ787460	SRR15382726
MZ694104	SRR15267741
MZ785235	SRR15381489
MZ786412	SRR15380612
MZ763287	SRR15407128
MZ689812	SRR15266281
MZ784754	SRR15379150
MZ694182	SRR15267453
MZ981520	SRR15681411
MZ697174	SRR15285403
MZ916740	SRR15609064
MZ694241	SRR15267458
MZ765652	SRR15398802
MZ759622	SRR15399591
MZ743320	SRR15270820
MZ804691	SRR15445928
MZ849521	SRR15231726
MZ850761	SRR15233281
MZ786799	SRR15378415
MZ796791	SRR15433350
MZ759226	SRR15400096
MZ759437	SRR15399945
MZ785709	SRR15378534
OK033038	SRR15707684
MZ764216	SRR15397692
MZ802066	SRR15434701
MZ759000	SRR15399708
OU435291	ERR6330268
MZ726582	SRR15299988
MZ731194	SRR15350201
MZ745170	SRR15272246
MZ785782	SRR15382693
MZ730377	SRR15344291
MZ745471	SRR15272022
MZ699194	SRR15284580
MZ759036	SRR15399775
MZ745853	SRR15272384
MZ690159	SRR15266160
MZ759604	SRR15399631
MZ916855	SRR15609396
MZ743309	SRR15270922
MZ742561	SRR15272540
MZ760182	SRR15393115
MZ696136	SRR15285298
MZ810628	SRR15400138
MZ810346	SRR15390903
MZ763556	SRR15406958
MZ611576	SRR15162305
MZ530348	SRR15052486
MZ809829	SRR15391431
MZ812077	SRR15445226
MZ697886	SRR15286979
MZ746556	SRR15377389
MZ809881	SRR15391414
MZ765266	SRR15398187
MZ740461	SRR15390729
MZ591711	SRR15157187
MZ699029	SRR15287543
MZ785479	SRR15380933
MZ593132	SRR15137944
MZ740151	SRR15384138
MZ729471	SRR15342624
MZ731395	SRR15349944
MZ689856	SRR15266227
MZ849024	SRR15233231
OU435340	ERR6330348
MZ650729	SRR15223681
OK117671	SRR15835585
MZ746452	SRR15377798
MZ764962	SRR15397609
MZ705693	SRR15200283
MZ650498	SRR15223826
OK039363	SRR15706373
MZ763571	SRR15407607
MZ730589	SRR15344729
MZ762646	SRR15396008
MZ695907	SRR15284047
MZ590651	SRR15155263
MZ655625	SRR15229023
MZ785839	SRR15378266
OK039816	SRR15700587
MZ697438	SRR15285557
MZ761353	SRR15394237
MZ732405	SRR15352310
MZ705309	SRR15200200
MZ531027	SRR15026156
MZ698928	SRR15287507
MZ763209	SRR15408175
MZ647343	SRR15238563
MZ849536	SRR15233159
OK117644	SRR15835779
MZ696609	SRR15313236
MZ704456	SRR15224438
MZ796724	SRR15432619
MZ734527	SRR15342055
MZ763582	SRR15407903
MZ849817	SRR15231028
MZ833340	SRR15494420
MZ744206	SRR15363252
MZ763887	SRR15408128
MZ683835	SRR15271430
MZ690178	SRR15266060
MZ810362	SRR15391759
MZ655660	SRR15229556
MZ730888	SRR15349371
MZ655387	SRR15229398
MZ783656	SRR15378629
OK117445	SRR15835711
MZ741994	SRR15383186
MZ730228	SRR15344419
MZ531460	SRR15026500
MZ765577	SRR15398166
MZ705906	SRR15201271
MZ655577	SRR15229941
MZ763528	SRR15407250
MZ696904	SRR15313371
MZ704030	SRR15224285
MZ690108	SRR15266476
MZ788376	SRR15434408
MZ705281	SRR15201039
MZ787358	SRR15380224
MZ697358	SRR15285428
MZ591068	SRR15155854
MZ699923	SRR15288418
MZ698051	SRR15286326
MZ731132	SRR15349832
MZ811449	SRR15445189
MZ765722	SRR15397470
MZ591189	SRR15155081
OK039951	SRR15700956
OK032842	SRR15707746
MZ730478	SRR15344199
MZ699741	SRR15288592
OK039401	SRR15706412
MZ797326	SRR15432232
MZ759546	SRR15399616
OK040013	SRR15700842
MZ730490	SRR15344993
MZ981709	SRR15681464
MZ518682	SRR15052120
MZ741940	SRR15383260
MZ555200	SRR15088480
MZ697368	SRR15285631
MZ591806	SRR15157063
MZ727055	SRR15353158
MZ798027	SRR15431982
MZ854846	SRR15541598
MZ647175	SRR15238101
MZ611557	SRR15162325
MZ833195	SRR15459931
MZ936924	SRR15601074
MZ797680	SRR15431977
MZ796513	SRR15431933
MZ491251	SRR14999867
MZ759766	SRR15399404
MZ742055	SRR15382935
MZ745637	SRR15272215
MZ529978	SRR15053409
MZ477164	SRR14963052
MZ763441	SRR15408024
OK039782	SRR15700688
MZ762254	SRR15396595
MZ729052	SRR15138789
MZ590686	SRR15155271
MZ592688	SRR15156274
MZ762860	SRR15407547
MZ786224	SRR15379068
MZ732703	SRR15352143
MZ704916	SRR15138369
MZ745476	SRR15272013
MZ850745	SRR15233022
MZ810924	SRR15396756
MZ732336	SRR15352079
OK032772	SRR15707397
MZ797152	SRR15432686
MZ788523	SRR15434608
MZ797025	SRR15432324
MZ762195	SRR15396915
MZ537887	SRR15023145
OU435460	ERR6330239
MZ741278	SRR15289768
MZ760336	SRR15392917
MZ729176	SRR15351304
OK030588	SRR15698952
MZ787130	SRR15380549
MZ761068	SRR15394221
MZ760247	SRR15393067
MZ690004	SRR15266030
MZ704900	SRR15138387
MZ554152	SRR15087800
MZ744157	SRR15363194
MZ620488	SRR15201434
MZ764495	SRR15398623
MZ688158	SRR15268138
MZ740688	SRR15289911
MZ740963	SRR15290420
OK039521	SRR15700645
MZ728720	SRR15352907
MZ797266	SRR15433355
MZ729255	SRR15346150
MZ787248	SRR15378902
MZ742913	SRR15270524
MZ530350	SRR15052633
MZ785703	SRR15378130
MZ981533	SRR15681550
MZ699492	SRR15288400
MZ745327	SRR15272468
OK022024	SRR15693164
MZ848889	SRR15231189
MZ760580	SRR15392674
MZ530558	SRR15053542
MZ746349	SRR15377781
MZ620504	SRR15201510
MZ697107	SRR15285727
MZ849044	SRR15233682
MZ649909	SRR15228539
MZ744056	SRR15363922
MZ786757	SRR15380298
MZ617968	SRR15199825
MZ522498	SRR15025905
MZ740845	SRR15289669
MZ733257	SRR15352484
MZ784017	SRR15381950
MZ731316	SRR15349464
MZ764059	SRR15408050
MZ696019	SRR15284016
MZ617940	SRR15199992
MZ697412	SRR15285599
MZ650023	SRR15228561
MZ760191	SRR15393199
MZ694102	SRR15267803
MZ530515	SRR15053331
MZ655283	SRR15229187
MZ530450	SRR15053444
MZ699488	SRR15288329
MZ357443	SRR14884366
MZ591590	SRR15156631
MZ740196	SRR15384153
OK117522	SRR15835526
MZ784517	SRR15380354
MZ732797	SRR15352533
MZ731692	SRR15350136
MZ741111	SRR15289840
MZ762153	SRR15396181
MZ740369	SRR15390599
OK021885	SRR15693279
MZ797672	SRR15432061
MZ762312	SRR15396792
MZ810352	SRR15391692
MZ650609	SRR15223714
MZ809781	SRR15391235
MZ740765	SRR15290497
MZ529997	SRR15053147
MZ694089	SRR15266997
MZ538397	SRR15023410
MZ696371	SRR15285029
MZ765564	SRR15397438
MZ538404	SRR15023382
MZ532394	SRR15053653
MZ785547	SRR15379737
MZ762333	SRR15396979
MZ698602	SRR15314181
MZ740692	SRR15289875
MZ759667	SRR15399929
MZ802076	SRR15434894
MZ591681	SRR15156524
MZ761957	SRR15396576
MZ784460	SRR15380828
MZ817770	SRR15435510
MZ506058	SRR15011600
OK032580	SRR15687816
MZ730912	SRR15349879
MZ765936	SRR15398030
MZ761123	SRR15393801
MZ662243	SRR15223229
MZ849758	SRR15231484
OK022123	SRR15693488
MZ697864	SRR15287007
MZ758936	SRR15399518
MZ916918	SRR15609070
MZ593094	SRR15138002
MZ809555	SRR15391538
MZ591160	SRR15155598
MZ698501	SRR15287219
OK117614	SRR15835579
MZ811875	SRR15445070
MZ788413	SRR15434536
MZ783541	SRR15382294
MZ848959	SRR15233688
MZ745642	SRR15272208
MZ810482	SRR15390894
MZ758934	SRR15400156
MZ783374	SRR15380128
MZ538334	SRR15022999
MZ811158	SRR15444980
MZ759455	SRR15400123
MZ743140	SRR15270882
MZ763889	SRR15407101
OK039848	SRR15700695
MZ936744	SRR15601382
MZ762907	SRR15406897
MZ699533	SRR15288368
OK033028	SRR15707762
OK039573	SRR15700917
MZ797995	SRR15432952
MZ786131	SRR15381449
MZ704529	SRR15138267
MZ591743	SRR15156966
MZ655679	SRR15229166
MZ936780	SRR15601266
MZ755198	SRR15406366
MZ786874	SRR15378643
MZ745725	SRR15272110
MZ728116	SRR15299365
MZ765509	SRR15397261
MZ784234	SRR15382501
MZ538415	SRR15023194
MZ730697	SRR15344911
MZ734549	SRR15342031
MZ796759	SRR15433628
MZ477126	SRR14963032
MZ760295	SRR15392381
MZ787133	SRR15380555
MZ650028	SRR15228554
MZ699895	SRR15288490
MZ786530	SRR15380624
MZ698882	SRR15314318
OK032692	SRR15707472
MZ783930	SRR15381747
MZ581212	SRR15177735
MZ741719	SRR15382956
MZ705910	SRR15201266
MZ699046	SRR15287519
MZ734553	SRR15342026
MZ769404	SRR15405852
MZ742282	SRR15270178
MZ765326	SRR15397538
MZ554549	SRR15088599
MZ765101	SRR15398566
MZ729412	SRR15346119
MZ760239	SRR15392990
MZ761267	SRR15394240
MZ618091	SRR15200060
MZ763539	SRR15407267
MZ761997	SRR15396969
MZ763502	SRR15407432
MZ761833	SRR15393661
MZ797272	SRR15433331
MZ618137	SRR15199800
MZ740707	SRR15289858
MZ697601	SRR15287252
MZ705202	SRR15138828
MZ733037	SRR15351544
MZ705899	SRR15201279
MZ786826	SRR15378640
MZ731409	SRR15350034
OU440849	ERR6330371
MZ729028	SRR15200471
MZ694346	SRR15267142
MZ802689	SRR15433920
MZ981524	SRR15681299
MZ703863	SRR15224914
MZ786770	SRR15381873
MZ729158	SRR15351338
MZ733265	SRR15352174
MZ662490	SRR15223250
MZ698167	SRR15286283
MZ477945	SRR14994654
MZ530873	SRR15026595
MZ761275	SRR15393932
MZ386008	SRR14900251
MZ784612	SRR15379464
MZ763774	SRR15407989
MZ591177	SRR15155080
MZ833102	SRR15460086
MZ697580	SRR15287378
MZ740325	SRR15390620
MZ538217	SRR15023528
MZ683579	SRR15271224
MZ760676	SRR15392972
MZ811429	SRR15445327
OK117801	SRR15835664
MZ746066	SRR15272963
MZ740157	SRR15384140
MZ555346	SRR15089288
MZ762451	SRR15396037
MZ765830	SRR15398485
MZ743509	SRR15270179
MZ851036	SRR15233549
MZ731380	SRR15350530
MZ734547	SRR15342033
MZ591191	SRR15155184
MZ693912	SRR15267460
MZ694666	SRR15267573
MZ809830	SRR15391355
MZ732341	SRR15351599
MZ696197	SRR15285255
MZ848741	SRR15233355
MZ811397	SRR15444774
MZ698988	SRR15287483
MZ762262	SRR15396643
MZ555365	SRR15088462
MZ740439	SRR15390745
MZ785855	SRR15381926
MZ849537	SRR15233155
MZ432980	SRR14873547
MZ802491	SRR15434088
MZ730562	SRR15344927
MZ704102	SRR15225014
MZ590767	SRR15155622
MZ850238	SRR15231127
MZ741294	SRR15290246
MZ765829	SRR15397742
OK019784	SRR15678571
MZ811464	SRR15445197
MZ743039	SRR15271039
MZ849186	SRR15233698
MZ742289	SRR15289739
MZ755042	SRR15406338
MZ592091	SRR15156912
MZ741668	SRR15383318
MZ797761	SRR15431914
MZ796310	SRR15432352
MZ698479	SRR15287207
MZ531441	SRR15026402
MZ597794	SRR15199585
MZ654931	SRR15229429
MZ698589	SRR15314087
MZ936984	SRR15601108
OU301829	ERR6008049
MZ727075	SRR15353165
MZ592565	SRR15156492
MZ787362	SRR15380394
MZ690375	SRR15265985
MZ783509	SRR15380775
MZ811401	SRR15445212
MZ729385	SRR15345971
MZ694433	SRR15267034
MZ765395	SRR15399043
MZ761677	SRR15394108
MZ532238	SRR15053581
MZ730494	SRR15344902
OK019972	SRR15698987
OK022125	SRR15693466
MZ655680	SRR15229841
MZ763702	SRR15407671
MZ745061	SRR15272346
MZ531171	SRR15026232
OK117533	SRR15835796
MZ851131	SRR15233258
MZ732920	SRR15351782
MZ797757	SRR15432335
MZ698002	SRR15287279
MZ697545	SRR15287123
MZ731003	SRR15349459
MZ696115	SRR15285302
MZ760010	SRR15393290
OK033938	SRR15707169
MZ763724	SRR15407580
MZ732526	SRR15352311
MZ765364	SRR15398199
MZ809657	SRR15391086
MZ762788	SRR15395987
MZ662246	SRR15223210
MZ786188	SRR15379994
MZ731328	SRR15350155
MZ650784	SRR15223561
MZ765125	SRR15397849
MZ760141	SRR15393057
MZ848788	SRR15232973
MZ848851	SRR15232265
MZ786551	SRR15379626
MZ783381	SRR15381631
MZ650511	SRR15223703
MZ728875	SRR15224417
MZ809756	SRR15392013
MZ699597	SRR15288262
MZ698137	SRR15286323
MZ745612	SRR15272522
